Horodateur,Sexe,Age,Situation Socio-Professionnelle,Niveau d'études,Qu'est ce qui influence votre envie de répondre à des questionnaires ? [la clarté des questions],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [la longueur],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [La personne qui le crée ],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [L'heure de la journée],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Le sujet],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [L'objectif],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Organisation des questions],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [La langue ],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Méthode de partage],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Récompenses],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [La qualité des questions],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [La personne qui vous l'envoie],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Le temps requis],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Votre Humeur],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Le réseau Social sur lequel il se situe],"Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Vehicules]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Technologies]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Social]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Sport]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Etudes]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Clubs]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Sciences]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Cosmetiques]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Economie]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Jeux Videos]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Mode]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Recherches et Developpement]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Politique]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Musique]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Orientation]",Avez-vous déjà abandonné un questionnaire en raison de sa longueur,Préférez-vous les questionnaires en ligne par rapport aux questionnaires papier?,Avez-vous déjà fourni de fausses informations dans un questionnaire,Est-ce que l'anonymat des réponses est un critère important ?,Avez-vous déjà créé un questionnaire ?,Considérez-vous les questionnaires comme une méthode efficace pour exprimer votre opinion?,Avez-vous déjà participé à un sondage en ligne ?,Trouvez-vous que les questionnaires vous permettent de réfléchir à des questions auxquelles vous n'avez jamais réfléchis ?,Pensez-vous que votre humeur ou votre état d'esprit influence votre propension à répondre à un questionnaire?,"Si vous connaissez la personne ayant rédigé le questionnaire, est-ce que cela pourrait influencer vos réponses ?","Quelles informations seriez-vous réticents à fournir dans un questionnaire, même de manière anonyme?",Comment choisissez-vous les questionnaires auxquels vous décidez de répondre?,Avez-vous des préférences quant au format des questions dans un questionnaire ?,Combien de temps au maximum vous passez à répondre à un questionnaire ?,A quel point est-ce que ce questionnaire vous semble long ?
06/12/2023 09:51:38,M,18-25,Etudiant,Master,Neutre,Tout à fait D'accord,Tout à fait D'accord,Neutre,Neutre,Plutôt D'accord,Pas du tout d'accord,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,5,5,5,2,2,2,3,1,1,5,4,5,5,5,2,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Personnelles,Amis,Echelle de Likert (1-5),5min,3
06/12/2023 09:57:17,F,18-25,Etudiant,Master,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Neutre,Neutre,Neutre,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,3,4,4,5,4,4,5,4,3,3,4,4,2,5,5,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Vie privee,Au hazard,Echelle de Likert (1-5),3min,3
06/12/2023 09:59:31,F,18-25,Etudiant,Master,Tout à fait D'accord,Tout à fait D'accord,Pas d'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,Plutôt D'accord,Pas d'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,5,5,5,3,4,5,5,5,4,4,5,5,2,3,3,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,salaire,Selon le sujet,Echelle de Likert (1-5),5 minutes,1
06/12/2023 10:01:09,M,18-25,Etudiant,Master,Neutre,Plutôt D'accord,Tout à fait D'accord,Neutre,Tout à fait D'accord,Neutre,Neutre,Tout à fait D'accord,Pas d'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Tout à fait D'accord,4,5,4,3,3,3,5,1,1,5,2,3,2,5,4,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Vie amoureuse ,Je ne choisis pas,QCM,10min,2
06/12/2023 10:04:54,M,18-25,Etudiant,Licence,Neutre,Plutôt D'accord,Plutôt D'accord,Pas du tout d'accord,Tout à fait D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Neutre,Tout à fait D'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,4,4,3,4,3,3,4,2,2,5,4,4,1,5,4,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,jsp,jsp,QCM,1h,3
06/12/2023 10:04:54,F,18-25,Etudiant,Master,Plutôt D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Neutre,Tout à fait D'accord,Pas d'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Neutre,5,3,4,2,4,3,3,4,4,2,5,3,3,3,1,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,.,.,QCM,5min,2
06/12/2023 10:09:12,F,18-25,Etudiant,Master,Tout à fait D'accord,Neutre,Pas d'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,Pas du tout d'accord,Neutre,Neutre,Plutôt D'accord,Tout à fait D'accord,Pas d'accord,1,5,5,2,5,1,3,2,2,4,4,5,4,4,4,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Vie privé,Selon le sujet,QCM,Ça dependde longeur de liste generalement 5 minute maximum,3
06/12/2023 10:18:00,F,18-25,Etudiant,Master,Tout à fait D'accord,Plutôt D'accord,Pas d'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,Pas d'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,2,5,5,5,5,4,4,2,4,1,2,4,5,5,4,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Les secrets de famille.,"1)Quand le sujet qui m'intéresse. 2)Quand il s'agit de cocher la bonne réponse, sans falloir écrire et rédiger. ",Echelle de Likert (1-5),5 minutes. ,3
06/12/2023 10:54:01,M,25-40,Etudiant,Licence,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,Neutre,Plutôt D'accord,Pas d'accord,Neutre,Plutôt D'accord,Neutre,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Neutre,Neutre,5,5,1,4,4,2,5,1,1,5,1,4,1,4,2,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,-,"Ca depend de qui l'envoie, pour quoi, sur quoi",QCM,5 min,2
06/12/2023 11:13:21,M,18-25,Etudiant,Licence,Tout à fait D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas d'accord,Pas d'accord,Pas du tout d'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,3,4,4,3,4,2,5,1,2,2,1,2,1,5,2,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Informations personnelles ,"Personne qui l'a fait, personne qui l'envoie  pas de réponses rédigées (courtes ou longues) que des QCMs ou des ÉCHELLES ",QCM,3/5 mins ,3
06/12/2023 11:16:28,M,18-25,Etudiant,Licence,Neutre,Plutôt D'accord,Tout à fait D'accord,Neutre,Neutre,Neutre,Neutre,Plutôt D'accord,Neutre,Neutre,Neutre,Tout à fait D'accord,Neutre,Neutre,Neutre,4,4,4,4,4,4,4,1,3,3,3,3,2,2,2,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Je suis aziz ben gamra ,Par ordre ,QCM,2s,5
06/12/2023 11:32:01,M,18-25,Etudiant,Licence,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Pas du tout d'accord,Tout à fait D'accord,Neutre,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Pas du tout d'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,2,5,4,4,5,1,4,3,1,5,3,3,2,5,2,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,"Des truc très sensibles (sexualité, alcool… ) si c’est anonyme",Tout dépend du sujet et de mon humeur ,QCM,5min,4
06/12/2023 16:45:15,M,18-25,Etudiant,Licence,Neutre,Plutôt D'accord,Tout à fait D'accord,Neutre,Pas du tout d'accord,Pas du tout d'accord,Pas du tout d'accord,Tout à fait D'accord,Neutre,Pas du tout d'accord,Pas du tout d'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,1,1,4,4,3,2,4,1,3,2,2,1,2,3,2,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Non,"Santé , addiction ",En fonction de la personne qui la faite ,QCM,1mn,5
13/12/2023 21:09:07,F,18-25,Etudiant,autres,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,Pas du tout d'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,Pas du tout d'accord,Pas du tout d'accord,Tout à fait D'accord,Pas du tout d'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,1,5,4,5,5,3,5,5,4,1,2,5,4,5,4,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Rien,Par humeur et l ' importance du sujet ,QCM,2 min,4
13/12/2023 23:40:56,M,18-25,Etudiant,Licence,Plutôt D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Neutre,Pas d'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,2,3,5,5,5,4,4,1,3,5,1,2,5,5,4,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Info personnelles,Le sujet et l'éditeur du questionnaire et parfois la cause ,Echelle de Likert (1-5),5 min,4
25/12/2023 16:23:55,M,18-25,Etudiant,Master,Neutre,Neutre,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Pas du tout d'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,1,5,5,3,5,5,5,1,5,5,5,5,5,5,1,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,0,Instagram ,Réponse Courte,2 minute ,3
25/12/2023 16:28:44,M,18-25,Etudiant,Master,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,Plutôt D'accord,Neutre,Pas d'accord,Plutôt D'accord,Neutre,Tout à fait D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,4,5,5,4,1,3,3,1,3,4,5,3,1,5,3,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,"Centres d intérêts, opinions sur des sujets sensibles ",Sujet / personne qui envoie,QCM,10 mins,4
25/12/2023 16:36:54,M,18-25,Etudiant,Licence,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,5,5,5,4,3,5,4,3,5,1,5,5,3,4,5,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,J ai pas envie de répondre ,J ai pas envie de répondre ,QCM,5min,5
25/12/2023 16:38:56,M,18-25,Etudiant,Licence,Tout à fait D'accord,Pas d'accord,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,Plutôt D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Neutre,4,4,3,3,3,2,4,1,4,3,3,4,3,3,3,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,La vie privée,La personne qui envoie les questions / mon intérêt pour le sujet,QCM,7min,3
25/12/2023 16:45:40,M,18-25,Etudiant,Bachelor,Neutre,Tout à fait D'accord,Tout à fait D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Neutre,Neutre,Neutre,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Pas du tout d'accord,4,4,4,4,4,2,4,2,3,2,2,3,3,3,2,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Oui,Non,Lieu de résidence ,Amis+ sujets,QCM,2min,4
25/12/2023 16:47:31,M,18-25,Etudiant,Master,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,Pas du tout d'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Pas du tout d'accord,Pas d'accord,Plutôt D'accord,Pas d'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,4,3,2,5,4,3,4,1,4,5,1,3,4,4,2,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,sexe( nehchem) ,Je ne choisis pas ,QCM,5 minutes,5
25/12/2023 16:58:40,F,18-25,Etudiant,Licence,Tout à fait D'accord,Plutôt D'accord,Neutre,Pas d'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,Pas d'accord,Plutôt D'accord,Neutre,Tout à fait D'accord,Pas d'accord,Plutôt D'accord,2,3,5,5,5,5,5,3,3,1,5,5,2,3,5,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Aucune ,Les plus pertinents ,QCM,5min ,3
25/12/2023 17:45:18,F,18-25,Employé,autres,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Neutre,Tout à fait D'accord,Plutôt D'accord,Neutre,Tout à fait D'accord,Pas d'accord,Pas du tout d'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Aucune,Les différents sujets,QCM,10 minutes,1
25/12/2023 17:52:54,M,18-25,Etudiant,Master,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,Pas d'accord,Tout à fait D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas d'accord,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Aucune,Selon le sujet,Echelle de Likert (1-5),2 minutes ,3
25/12/2023 18:09:05,F,18-25,Etudiant,Master,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Neutre,Neutre,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,1,2,3,1,1,1,1,2,2,3,3,3,3,3,1,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Politique ,Par rapport à la personne qui me l'a envoyé ,QCM,5min,3
25/12/2023 18:13:59,F,18-25,Etudiant,Licence,Tout à fait D'accord,Plutôt D'accord,Neutre,Neutre,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Neutre,Tout à fait D'accord,Neutre,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,3,3,5,2,4,5,4,5,4,1,5,4,4,5,3,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Non, Des informations concernant ma vie privée,"Le but du questionnaire (pour des études, un travail) et le sujet du questionnaire ",Echelle de Likert (1-5),5min,4
25/12/2023 19:42:59,F,18-25,Etudiant,Master,Neutre,Neutre,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas d'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,3,5,5,3,4,4,4,4,5,4,4,5,4,5,4,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,"Des informations intimes, trop personnelle ","La personne qui le fait, le sujet….",QCM,10min,4
25/12/2023 19:59:35,M,18-25,Etudiant,Master,Tout à fait D'accord,Plutôt D'accord,Neutre,Neutre,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Neutre,5,5,3,4,4,2,5,1,3,3,3,5,3,5,4,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,?,friend/ a study that concern me,Echelle de Likert (1-5),15 mn,2
25/12/2023 21:44:33,F,18-25,Etudiant,Bac,Plutôt D'accord,Neutre,Pas du tout d'accord,Pas du tout d'accord,Pas d'accord,Pas d'accord,Pas du tout d'accord,Neutre,Pas du tout d'accord,Pas du tout d'accord,Plutôt D'accord,Pas du tout d'accord,Pas du tout d'accord,Neutre,Pas du tout d'accord,1,3,4,3,4,4,4,2,1,1,3,1,1,3,4,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ça depend,Rendre un service à quelqu’un ,QCM,10 minutes ,4
25/12/2023 21:54:46,F,18-25,Etudiant,Master,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Neutre,Neutre,Pas d'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Neutre,1,4,5,4,5,5,4,5,5,3,3,4,5,4,5,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Si c’est anonyme je suis indifférent(e),.,QCM,8min,3
25/12/2023 23:39:30,M,18-25,Etudiant,Master,Tout à fait D'accord,Plutôt D'accord,Neutre,Neutre,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Pas d'accord,Pas d'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Pas d'accord,2,3,2,4,4,3,4,2,1,1,1,3,2,3,3,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Religion,Je réponds à tous généralement ,QCM,5min,3
26/12/2023 00:23:28,M,18-25,Etudiant,Licence,Neutre,Neutre,Tout à fait D'accord,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Tout à fait D'accord,Neutre,Neutre,Neutre,2,4,3,4,4,3,5,1,2,3,1,5,4,1,2,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Informations personnelles ,Pertinente ou pas,Réponse Courte,Tout dépend du sujet,1
26/12/2023 01:03:19,M,18-25,Etudiant,Licence,Neutre,Pas d'accord,Neutre,Neutre,Neutre,Tout à fait D'accord,Neutre,Tout à fait D'accord,Pas d'accord,Neutre,Neutre,Tout à fait D'accord,Neutre,Tout à fait D'accord,Neutre,2,3,2,3,2,2,1,1,1,3,3,2,1,3,1,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,.,Toutes,QCM,10min,3
26/12/2023 09:24:04,M,18-25,Etudiant,Licence,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,Plutôt D'accord,Tout à fait D'accord,Neutre,Neutre,Neutre,Pas du tout d'accord,Pas d'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Pas d'accord,2,3,5,1,3,1,3,1,5,2,3,2,2,1,1,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Un péché ou fait illicite que j'aurais pu commettre ,Idk,QCM,-5min,3
26/12/2023 11:01:51,F,18-25,Etudiant,autres,Plutôt D'accord,Pas du tout d'accord,Plutôt D'accord,Neutre,Neutre,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Neutre,Plutôt D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Plutôt D'accord,1,3,5,4,5,5,5,5,4,1,5,5,3,5,5,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Statut social ,Je ne choisis pas ,QCM,5mn,3
26/12/2023 13:28:22,M,18-25,Etudiant,Master,Pas d'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Pas d'accord,Neutre,Neutre,Tout à fait D'accord,Pas d'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Pas d'accord,5,5,5,2,4,4,5,1,4,2,1,5,4,5,2,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Aucune info,Random,QCM,10 minn,5
26/12/2023 14:03:36,F,18-25,Etudiant,Master,Plutôt D'accord,Pas d'accord,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Pas du tout d'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,2,5,5,5,3,3,4,2,4,2,2,4,4,5,4,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Des infos politiques. ,"Je remplis des questionnaires pour apprendre, me cultiver ou pour augmenter la précision de l'analyse d'un sujet qui m'intéresse.",Echelle de Likert (1-5),10 minutes. ,3
26/12/2023 18:40:23,F,40-60,Employé,Master,Tout à fait D'accord,Neutre,Tout à fait D'accord,Neutre,Neutre,Tout à fait D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,1,4,5,4,5,5,4,3,3,2,3,3,1,3,5,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Intime,Tenant compte de la personne qui l'a fait,QCM,5mins,1
26/12/2023 20:35:27,F,40-60,Employé,Bachelor,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Neutre,1,5,5,3,5,3,4,3,3,2,4,5,3,5,5,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Tres personnelle,Neutre,Echelle de Likert (1-5),5min,3
27/12/2023 09:44:45,F,18-25,Etudiant,Master,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Neutre,Neutre,Plutôt D'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Neutre,4,5,5,5,5,5,5,5,2,3,5,5,2,4,5,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Sexualité ,Hasard ,QCM,3,4